date,travellers
Jan 2019,731130
Feb 2019,927240
Mar 2019,836350
Apr 2019,700370
May 2019,668280
Jun 2019,660340
Jul 2019,790380
Aug 2019,789200
Sep 2019,694960
Oct 2019,774020
Nov 2019,815910
Dec 2019,1077720
Jan 2020,766590
Feb 2020,685410
Mar 2020,331890
Apr 2020,2250
May 2020,3440
Jun 2020,5400
Jul 2020,3530
Aug 2020,3030
Sep 2020,3720
Oct 2020,6070
Nov 2020,7570
Dec 2020,8820
Jan 2021,7990
Feb 2021,6260
Mar 2021,8320
Apr 2021,22610
May 2021,36190
Jun 2021,36770
Jul 2021,18720
Aug 2021,6390
Sep 2021,4430
Oct 2021,4410
Nov 2021,20860
Dec 2021,73290
Jan 2022,60760
Feb 2022,90460
Mar 2022,170250
Apr 2022,235460
May 2022,231480
Jun 2022,275300
Jul 2022,325680
Aug 2022,348440
Sep 2022,371850
Oct 2022,430470
Nov 2022,505240
Dec 2022,648970
Jan 2023,412410
Feb 2023,600710
Mar 2023,613340
Apr 2023,544920
May 2023,512330
Jun 2023,542080
Jul 2023,625120
Aug 2023,603360
Sep 2023,584620
Oct 2023,607930
Nov 2023,663760
Dec 2023,876860
